STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       5404;2022060101:11;    1;  105.0;    0.0;    0.0;   0;   106.75;2022060102:00;eor
       5404;2022060102:11;    1;  105.0;    0.0;    0.0;   0;   101.99;2022060103:00;eor
       5404;2022060103:11;    1;  105.0;    0.0;    0.0;   0;    95.40;2022060104:00;eor
       5404;2022060104:11;    1;  108.0;    6.0;    7.0;   0;    87.41;2022060105:00;eor
       5404;2022060105:11;    1;  108.0;   25.0;   41.0;  30;    78.44;2022060106:00;eor
       5404;2022060106:11;    1;  107.0;   37.0;  114.0;  52;    68.83;2022060107:00;eor
       5404;2022060107:11;    1;  109.0;   51.0;  172.0;  60;    58.91;2022060108:00;eor
       5404;2022060108:11;    1;  109.0;   30.0;  239.0;  60;    49.04;2022060109:00;eor
       5404;2022060109:11;    1;  112.0;   38.0;  280.0;  60;    39.73;2022060110:00;eor
       5404;2022060110:11;    1;  123.0;   98.0;  288.0;  56;    31.85;2022060111:00;eor
       5404;2022060111:11;    1;  123.0;  146.0;  268.0;  41;    26.99;2022060112:00;eor
       5404;2022060112:11;    1;  123.0;  156.0;  235.0;  39;    26.99;2022060113:00;eor
       5404;2022060113:11;    1;  127.0;  132.0;  248.0;  52;    31.83;2022060114:00;eor
       5404;2022060114:11;    1;  135.0;  121.0;  131.0;  15;    39.70;2022060115:00;eor
       5404;2022060115:11;    1;  137.0;   76.0;   79.0;   1;    49.01;2022060116:00;eor
       5404;2022060116:11;    1;  136.0;   24.0;   25.0;   0;    58.88;2022060117:00;eor
       5404;2022060117:11;    1;  135.0;   13.0;   13.0;   0;    68.79;2022060118:00;eor
       5404;2022060118:11;    1;  134.0;    5.0;    6.0;   0;    78.39;2022060119:00;eor
       5404;2022060119:11;    1;  132.0;    5.0;    5.0;   0;    87.34;2022060120:00;eor
       5404;2022060120:11;    1;  131.0;    0.0;    0.0;   0;    95.31;2022060121:00;eor
       5404;2022060121:11;    1;  126.0;    0.0;    0.0;   0;   101.89;2022060122:00;eor
       5404;2022060122:11;    1;  117.0;    0.0;    0.0;   0;   106.63;2022060123:00;eor
       5404;2022060123:11;    1;  115.0;    0.0;    0.0;   0;   109.13;2022060200:00;eor
       5404;2022060200:11;    1;  111.0;    0.0;    0.0;   0;   109.12;2022060201:00;eor
       5404;2022060201:11;    1;  107.0;    0.0;    0.0;   0;   106.62;2022060202:00;eor
       5404;2022060202:11;    1;  106.0;    0.0;    0.0;   0;   101.87;2022060203:00;eor
       5404;2022060203:11;    1;  111.0;    0.0;    0.0;   0;    95.28;2022060204:00;eor
       5404;2022060204:11;    1;  115.0;    8.0;    9.0;  13;    87.31;2022060205:00;eor
       5404;2022060205:11;    1;  115.0;   32.0;   38.0;   9;    78.34;2022060206:00;eor
       5404;2022060206:11;    1;  114.0;   56.0;   87.0;  28;    68.74;2022060207:00;eor
       5404;2022060207:11;    1;  111.0;   51.0;  162.0;  43;    58.82;2022060208:00;eor
       5404;2022060208:11;    1;  109.0;   35.0;  233.0;  60;    48.95;2022060209:00;eor
       5404;2022060209:11;    1;  113.0;   40.0;  286.0;  60;    39.63;2022060210:00;eor
       5404;2022060210:11;    1;  118.0;   73.0;  315.0;  60;    31.73;2022060211:00;eor
       5404;2022060211:11;    1;  124.0;  124.0;  253.0;  43;    26.86;2022060212:00;eor
       5404;2022060212:11;    1;  126.0;  117.0;  368.0;  57;    26.86;2022060213:00;eor
       5404;2022060213:11;    1;  131.0;  151.0;  271.0;  41;    31.72;2022060214:00;eor
       5404;2022060214:11;    1;  128.0;  111.0;  269.0;  53;    39.60;2022060215:00;eor
       5404;2022060215:11;    1;  126.0;   71.0;   88.0;  13;    48.92;2022060216:00;eor
       5404;2022060216:11;    1;  136.0;   61.0;   68.0;   7;    58.79;2022060217:00;eor
       5404;2022060217:11;    1;  139.0;   26.0;   27.0;   0;    68.70;2022060218:00;eor
       5404;2022060218:11;    1;  137.0;   10.0;   10.0;   0;    78.29;2022060219:00;eor
       5404;2022060219:11;    1;  131.0;    6.0;    6.0;   0;    87.24;2022060220:00;eor
       5404;2022060220:11;    1;  122.0;    0.0;    0.0;   0;    95.20;2022060221:00;eor
       5404;2022060221:11;    1;  116.0;    0.0;    0.0;   0;   101.77;2022060222:00;eor
       5404;2022060222:11;    1;  116.0;    0.0;    0.0;   0;   106.51;2022060223:00;eor
       5404;2022060223:11;    1;  115.0;    0.0;    0.0;   0;   109.00;2022060300:00;eor
       5404;2022060300:11;    1;  115.0;    0.0;    0.0;   0;   109.00;2022060301:00;eor
       5404;2022060301:11;    1;  114.0;    0.0;    0.0;   0;   106.49;2022060302:00;eor
       5404;2022060302:11;    1;  114.0;    0.0;    0.0;   0;   101.75;2022060303:00;eor
       5404;2022060303:11;    1;  113.0;    0.0;    0.0;   0;    95.17;2022060304:00;eor
       5404;2022060304:11;    1;  114.0;    9.0;   12.0;  25;    87.21;2022060305:00;eor
       5404;2022060305:11;    1;  119.0;   27.0;   37.0;  29;    78.25;2022060306:00;eor
       5404;2022060306:11;    1;  115.0;   29.0;  112.0;  55;    68.65;2022060307:00;eor
       5404;2022060307:11;    1;  130.0;   69.0;  105.0;  28;    58.74;2022060308:00;eor
       5404;2022060308:11;    1;  125.0;   73.0;  202.0;  31;    48.86;2022060309:00;eor
       5404;2022060309:11;    1;  122.0;   39.0;  279.0;  60;    39.53;2022060310:00;eor
       5404;2022060310:11;    1;  125.0;   42.0;  313.0;  60;    31.62;2022060311:00;eor
       5404;2022060311:11;    1;  127.0;   43.0;  330.0;  60;    26.74;2022060312:00;eor
       5404;2022060312:11;    1;  131.0;   82.0;  308.0;  60;    26.73;2022060313:00;eor
       5404;2022060313:11;    1;  135.0;  151.0;  213.0;  58;    31.61;2022060314:00;eor
       5404;2022060314:11;    1;  137.0;  121.0;  132.0;  21;    39.51;2022060315:00;eor
       5404;2022060315:11;    1;  142.0;   67.0;   69.0;   0;    48.83;2022060316:00;eor
       5404;2022060316:11;    1;  145.0;   18.0;   18.0;   0;    58.70;2022060317:00;eor
       5404;2022060317:11;    1;  146.0;    0.0;    0.0;   0;    68.61;2022060318:00;eor
       5404;2022060318:11;    1;  141.0;    0.0;    1.0;   0;    78.20;2022060319:00;eor
       5404;2022060319:11;    1;  140.0;    0.0;    0.0;   0;    87.14;2022060320:00;eor
       5404;2022060320:11;    1;  140.0;    0.0;    0.0;   0;    95.10;2022060321:00;eor
       5404;2022060321:11;    1;  130.0;    0.0;    0.0;   0;   101.66;2022060322:00;eor
       5404;2022060322:11;    1;  126.0;    0.0;    0.0;   0;   106.39;2022060323:00;eor
       5404;2022060323:11;    1;  124.0;    0.0;    0.0;   0;   108.88;2022060400:00;eor
       5404;2022060400:11;    1;  120.0;    0.0;    0.0;   0;   108.88;2022060401:00;eor
       5404;2022060401:11;    1;  118.0;    0.0;    0.0;   0;   106.38;2022060402:00;eor
       5404;2022060402:11;    1;  118.0;    0.0;    0.0;   0;   101.64;2022060403:00;eor
       5404;2022060403:11;    1;  127.0;    0.0;    0.0;   0;    95.07;2022060404:00;eor
       5404;2022060404:11;    1;  133.0;    8.0;    8.0;   0;    87.11;2022060405:00;eor
       5404;2022060405:11;    1;  134.0;   31.0;   33.0;   0;    78.16;2022060406:00;eor
       5404;2022060406:11;    1;  124.0;   58.0;   84.0;  24;    68.56;2022060407:00;eor
       5404;2022060407:11;    1;  132.0;   57.0;   80.0;  16;    58.65;2022060408:00;eor
       5404;2022060408:11;    1;  137.0;   65.0;   68.0;   0;    48.77;2022060409:00;eor
       5404;2022060409:11;    1;  137.0;  105.0;  113.0;   5;    39.44;2022060410:00;eor
       5404;2022060410:11;    1;  130.0;  102.0;  241.0;  26;    31.52;2022060411:00;eor
       5404;2022060411:11;    1;  130.0;  125.0;  269.0;  51;    26.62;2022060412:00;eor
       5404;2022060412:11;    1;  128.0;   70.0;  333.0;  56;    26.62;2022060413:00;eor
       5404;2022060413:11;    1;  133.0;  108.0;  285.0;  53;    31.51;2022060414:00;eor
       5404;2022060414:11;    1;  130.0;   48.0;  278.0;  59;    39.42;2022060415:00;eor
       5404;2022060415:11;    1;  129.0;   44.0;  223.0;  57;    48.75;2022060416:00;eor
       5404;2022060416:11;    1;  130.0;   43.0;  179.0;  60;    58.62;2022060417:00;eor
       5404;2022060417:11;    1;  133.0;   42.0;  110.0;  53;    68.53;2022060418:00;eor
       5404;2022060418:11;    1;  129.0;   21.0;   56.0;  60;    78.11;2022060419:00;eor
       5404;2022060419:11;    1;  128.0;    8.0;   12.0;  44;    87.05;2022060420:00;eor
       5404;2022060420:11;    1;  126.0;    0.0;    0.0;   0;    95.00;2022060421:00;eor
       5404;2022060421:11;    1;  126.0;    0.0;    0.0;   0;   101.56;2022060422:00;eor
       5404;2022060422:11;    1;  126.0;    0.0;    0.0;   0;   106.28;2022060423:00;eor
       5404;2022060423:11;    1;  125.0;    0.0;    0.0;   0;   108.77;2022060500:00;eor
       5404;2022060500:11;    1;  125.0;    0.0;    0.0;   0;   108.76;2022060501:00;eor
       5404;2022060501:11;    1;  124.0;    0.0;    0.0;   0;   106.27;2022060502:00;eor
       5404;2022060502:11;    1;  122.0;    0.0;    0.0;   0;   101.54;2022060503:00;eor
       5404;2022060503:11;    1;  120.0;    0.0;    0.0;   0;    94.98;2022060504:00;eor
       5404;2022060504:11;    1;  121.0;   12.0;   14.0;  14;    87.02;2022060505:00;eor
       5404;2022060505:11;    1;  121.0;   28.0;   45.0;  34;    78.07;2022060506:00;eor
       5404;2022060506:11;    1;  124.0;   65.0;  113.0;  60;    68.49;2022060507:00;eor
       5404;2022060507:11;    1;  132.0;   80.0;   92.0;  31;    58.57;2022060508:00;eor
       5404;2022060508:11;    1;  140.0;   87.0;   95.0;   6;    48.70;2022060509:00;eor
       5404;2022060509:11;    1;  139.0;  102.0;  117.0;   4;    39.35;2022060510:00;eor
       5404;2022060510:11;    1;  128.0;  110.0;  289.0;  55;    31.42;2022060511:00;eor
       5404;2022060511:11;    1;  138.0;  141.0;  237.0;  40;    26.51;2022060512:00;eor
       5404;2022060512:11;    1;  141.0;  168.0;  226.0;  20;    26.51;2022060513:00;eor
       5404;2022060513:11;    1;  148.0;  136.0;  147.0;  13;    31.41;2022060514:00;eor
       5404;2022060514:11;    1;  148.0;   97.0;  101.0;   1;    39.33;2022060515:00;eor
       5404;2022060515:11;    1;  147.0;   30.0;   31.0;   0;    48.67;2022060516:00;eor
       5404;2022060516:11;    1;  144.0;    1.0;    2.0;   0;    58.54;2022060517:00;eor
       5404;2022060517:11;    1;  139.0;    0.0;    1.0;   0;    68.45;2022060518:00;eor
       5404;2022060518:11;    1;  137.0;    1.0;    1.0;   0;    78.03;2022060519:00;eor
       5404;2022060519:11;    1;  135.0;    1.0;    1.0;   0;    86.97;2022060520:00;eor
       5404;2022060520:11;    1;  132.0;    0.0;    0.0;   0;    94.91;2022060521:00;eor
       5404;2022060521:11;    1;  127.0;    0.0;    0.0;   0;   101.46;2022060522:00;eor
       5404;2022060522:11;    1;  122.0;    0.0;    0.0;   0;   106.18;2022060523:00;eor
       5404;2022060523:11;    1;  116.0;    0.0;    0.0;   0;   108.66;2022060600:00;eor
       5404;2022060600:11;    1;  114.0;    0.0;    0.0;   0;   108.65;2022060601:00;eor
       5404;2022060601:11;    1;  113.0;    0.0;    0.0;   0;   106.16;2022060602:00;eor
       5404;2022060602:11;    1;  112.0;    0.0;    0.0;   0;   101.44;2022060603:00;eor
       5404;2022060603:11;    1;  124.0;    0.0;    0.0;   0;    94.88;2022060604:00;eor
       5404;2022060604:11;    1;  117.0;    8.0;   10.0;   1;    86.94;2022060605:00;eor
       5404;2022060605:11;    1;  116.0;   22.0;   48.0;  39;    78.00;2022060606:00;eor
       5404;2022060606:11;    1;  115.0;   42.0;   98.0;  53;    68.41;2022060607:00;eor
       5404;2022060607:11;    1;  116.0;   49.0;  169.0;  59;    58.50;2022060608:00;eor
       5404;2022060608:11;    1;  131.0;  110.0;  163.0;  40;    48.62;2022060609:00;eor
       5404;2022060609:11;    1;  130.0;  136.0;  236.0;  30;    39.27;2022060610:00;eor
       5404;2022060610:11;    1;  132.0;  124.0;  224.0;  47;    31.33;2022060611:00;eor
       5404;2022060611:11;    1;  125.0;   70.0;  287.0;  41;    26.41;2022060612:00;eor
       5404;2022060612:11;    1;  129.0;  117.0;  251.0;  39;    26.41;2022060613:00;eor
       5404;2022060613:11;    1;  125.0;   56.0;  331.0;  60;    31.32;2022060614:00;eor
       5404;2022060614:11;    1;  124.0;   50.0;  282.0;  60;    39.25;2022060615:00;eor
       5404;2022060615:11;    1;  133.0;  129.0;  188.0;  52;    48.60;2022060616:00;eor
       5404;2022060616:11;    1;  127.0;   55.0;  188.0;  58;    58.47;2022060617:00;eor
       5404;2022060617:11;    1;  126.0;   43.0;  101.0;  56;    68.37;2022060618:00;eor
       5404;2022060618:11;    1;  129.0;   22.0;   27.0;  20;    77.95;2022060619:00;eor
       5404;2022060619:11;    1;  127.0;   12.0;   14.0;   8;    86.89;2022060620:00;eor
       5404;2022060620:11;    1;  124.0;    0.0;    0.0;   0;    94.82;2022060621:00;eor
       5404;2022060621:11;    1;  133.0;    0.0;    0.0;   0;   101.37;2022060622:00;eor
       5404;2022060622:12;    1;  137.0;    0.0;    0.0;   0;   106.08;2022060623:00;eor
       5404;2022060623:12;    1;  135.0;    0.0;    0.0;   0;   108.56;2022060700:00;eor
       5404;2022060700:12;    1;  140.0;    0.0;    0.0;   0;   108.55;2022060701:00;eor
       5404;2022060701:12;    1;  139.0;    0.0;    0.0;   0;   106.07;2022060702:00;eor
       5404;2022060702:12;    1;  136.0;    0.0;    0.0;   0;   101.35;2022060703:00;eor
       5404;2022060703:12;    1;  134.0;    0.0;    0.0;   0;    94.80;2022060704:00;eor
       5404;2022060704:12;    1;  135.0;    2.0;    2.0;   0;    86.86;2022060705:00;eor
       5404;2022060705:12;    1;  136.0;    7.0;    8.0;   0;    77.92;2022060706:00;eor
       5404;2022060706:12;    1;  138.0;   13.0;   14.0;   0;    68.34;2022060707:00;eor
       5404;2022060707:12;    1;  138.0;   30.0;   32.0;   0;    58.43;2022060708:00;eor
       5404;2022060708:12;    1;  136.0;   65.0;   67.0;   0;    48.55;2022060709:00;eor
       5404;2022060709:12;    1;  138.0;   33.0;   34.0;   0;    39.19;2022060710:00;eor
       5404;2022060710:12;    1;  137.0;   56.0;   58.0;   0;    31.24;2022060711:00;eor
       5404;2022060711:12;    1;  135.0;  128.0;  131.0;   0;    26.32;2022060712:00;eor
       5404;2022060712:12;    1;  131.0;  194.0;  228.0;  18;    26.31;2022060713:00;eor
       5404;2022060713:12;    1;  128.0;  171.0;  283.0;  44;    31.23;2022060714:00;eor
       5404;2022060714:12;    1;  130.0;  143.0;  190.0;  33;    39.18;2022060715:00;eor
       5404;2022060715:12;    1;  130.0;   85.0;   90.0;   2;    48.53;2022060716:00;eor
       5404;2022060716:12;    1;  130.0;   51.0;   55.0;   0;    58.40;2022060717:00;eor
       5404;2022060717:12;    1;  128.0;   43.0;   50.0;   8;    68.31;2022060718:00;eor
