TempTMT [°C],-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
03:30-03:45,"1,9583","1,9585","1,9485","1,9351","1,9182","1,8980","1,8744","1,8475","1,8173","1,7839","1,5408","1,7075","1,6646","1,6186","1,5747","1,5272","1,4762","1,4274","1,3692","1,3076","1,2037","1,1035","1,0045","0,9079","0,8138","0,7220","0,6326","0,5455","0,4607","0,3783","0,2981","0,2217","0,1456","0,0556","0,0067"
03:45-04:00,"1,9552","1,9553","1,9454","1,9320","1,9151","1,8949","1,8714","1,8445","1,8144","1,7811","1,5384","1,7048","1,6620","1,6160","1,5722","1,5248","1,4739","1,4251","1,3670","1,3055","1,2018","1,1018","1,0029","0,9065","0,8125","0,7208","0,6315","0,5446","0,4600","0,3777","0,2976","0,2214","0,1454","0,0555","0,0067"
04:00-04:15,"1,9538","1,9539","1,9440","1,9306","1,9137","1,8936","1,8700","1,8432","1,8131","1,7798","1,5373","1,7036","1,6608","1,6149","1,5711","1,5237","1,4728","1,4241","1,3660","1,3045","1,2010","1,1010","1,0022","0,9058","0,8119","0,7203","0,6311","0,5442","0,4597","0,3774","0,2974","0,2212","0,1453","0,0554","0,0067"
04:15-04:30,"1,9507","1,9509","1,9409","1,9276","1,9108","1,8906","1,8671","1,8403","1,8103","1,7770","1,5349","1,7009","1,6582","1,6123","1,5686","1,5213","1,4705","1,4218","1,3639","1,3025","1,1991","1,0993","1,0006","0,9044","0,8106","0,7192","0,6301","0,5434","0,4589","0,3768","0,2970","0,2209","0,1451","0,0553","0,0067"
04:30-04:45,"1,9531","1,9533","1,9433","1,9299","1,9131","1,8929","1,8694","1,8426","1,8125","1,7792","1,5368","1,7030","1,6602","1,6143","1,5705","1,5232","1,4723","1,4236","1,3655","1,3041","1,2006","1,1006","1,0019","0,9055","0,8116","0,7201","0,6309","0,5440","0,4595","0,3773","0,2973","0,2212","0,1453","0,0554","0,0067"
04:45-05:00,"1,9570","1,9572","1,9472","1,9337","1,9169","1,8967","1,8731","1,8462","1,8161","1,7827","1,5398","1,7064","1,6635","1,6175","1,5737","1,5262","1,4752","1,4264","1,3683","1,3067","1,2029","1,1028","1,0039","0,9073","0,8132","0,7215","0,6321","0,5451","0,4604","0,3780","0,2979","0,2216","0,1455","0,0555","0,0067"
05:00-05:15,"1,9578","1,9580","1,9480","1,9346","1,9177","1,8975","1,8739","1,8470","1,8169","1,7835","1,5405","1,7071","1,6642","1,6182","1,5743","1,5269","1,4759","1,4270","1,3688","1,3072","1,2034","1,1033","1,0043","0,9077","0,8136","0,7218","0,6324","0,5453","0,4606","0,3782","0,2980","0,2217","0,1456","0,0555","0,0067"
05:15-05:30,"1,9543","1,9544","1,9445","1,9310","1,9142","1,8940","1,8705","1,8437","1,8136","1,7802","1,5376","1,7040","1,6612","1,6153","1,5715","1,5241","1,4732","1,4244","1,3663","1,3048","1,2013","1,1012","1,0024","0,9061","0,8121","0,7205","0,6312","0,5443","0,4598","0,3775","0,2975","0,2213","0,1453","0,0554","0,0067"
05:30-05:45,"1,9602","1,9603","1,9503","1,9369","1,9200","1,8997","1,8761","1,8492","1,8190","1,7856","1,5423","1,7091","1,6662","1,6201","1,5762","1,5287","1,4776","1,4287","1,3705","1,3088","1,2049","1,1046","1,0055","0,9088","0,8145","0,7227","0,6331","0,5460","0,4612","0,3786","0,2984","0,2219","0,1458","0,0556","0,0067"
05:45-06:00,"1,9622","1,9624","1,9524","1,9389","1,9220","1,9018","1,8781","1,8512","1,8210","1,7875","1,5439","1,7109","1,6679","1,6218","1,5779","1,5303","1,4792","1,4302","1,3719","1,3102","1,2061","1,1057","1,0065","0,9098","0,8154","0,7234","0,6338","0,5466","0,4616","0,3790","0,2987","0,2222","0,1459","0,0557","0,0067"
06:00-06:15,"1,4921","1,4922","1,4846","1,4744","1,4616","1,4461","1,4282","1,4077","1,3847","1,3593","1,1740","1,3010","1,2684","1,2333","1,1999","1,1637","1,1248","1,0876","1,0432","0,9963","0,9172","0,8408","0,7654","0,6918","0,6201","0,5501","0,4820","0,4156","0,3510","0,2882","0,2272","0,1690","0,1110","0,0423","0,0051"
06:15-06:30,"1,4998","1,4999","1,4922","1,4819","1,4690","1,4535","1,4355","1,4149","1,3918","1,3662","1,1800","1,3077","1,2748","1,2396","1,2060","1,1696","1,1306","1,0931","1,0486","1,0014","0,9219","0,8451","0,7693","0,6953","0,6232","0,5529","0,4844","0,4177","0,3528","0,2897","0,2283","0,1698","0,1115","0,0426","0,0051"
06:30-06:45,"1,4989","1,4990","1,4914","1,4811","1,4682","1,4527","1,4346","1,4141","1,3910","1,3654","1,1793","1,3069","1,2741","1,2389","1,2053","1,1689","1,1299","1,0925","1,0480","1,0008","0,9213","0,8446","0,7689","0,6949","0,6229","0,5526","0,4842","0,4175","0,3526","0,2895","0,2282","0,1697","0,1115","0,0425","0,0051"
06:45-07:00,"1,5002","1,5003","1,4926","1,4823","1,4694","1,4539","1,4359","1,4153","1,3921","1,3666","1,1803","1,3080","1,2752","1,2399","1,2063","1,1699","1,1308","1,0934","1,0488","1,0016","0,9221","0,8453","0,7695","0,6955","0,6234","0,5531","0,4846","0,4179","0,3529","0,2898","0,2284","0,1699","0,1116","0,0426","0,0051"
07:00-07:15,"1,5083","1,5084","1,5007","1,4903","1,4773","1,4618","1,4436","1,4229","1,3997","1,3739","1,1867","1,3151","1,2820","1,2466","1,2128","1,1762","1,1370","1,0993","1,0545","1,0070","0,9271","0,8499","0,7737","0,6993","0,6267","0,5561","0,4872","0,4201","0,3548","0,2913","0,2296","0,1708","0,1122","0,0428","0,0052"
