g/kWh;;
152.87;;
154.66;;
156.87;;
160.48;;
164.48;;
177.46;;
180.66;;
188.28;;
201.25;;
207.70;;
212.19;;
215.21;;
222.45;;
220.99;;
244.70;;
284.48;;
295.31;;
287.02;;
276.77;;
260.54;;
238.88;;
228.78;;
218.84;;
197.03;;
172.39;;
169.41;;
169.34;;
167.66;;
171.01;;
169.22;;
169.58;;
171.00;;
162.85;;
156.44;;
150.00;;
141.85;;
138.10;;
136.39;;
135.25;;
134.42;;
133.52;;
135.27;;
133.78;;
134.03;;
134.11;;
134.81;;
139.78;;
140.80;;
144.24;;
151.97;;
151.60;;
154.58;;
153.99;;
151.31;;
157.20;;
172.92;;
198.34;;
212.03;;
217.31;;
213.80;;
211.27;;
217.84;;
228.98;;
249.80;;
261.18;;
261.13;;
265.71;;
275.40;;
292.18;;
297.38;;
305.76;;
312.17;;
325.22;;
325.28;;
326.26;;
344.87;;
374.81;;
401.74;;
435.52;;
450.53;;
445.51;;
445.02;;
434.54;;
439.64;;
436.19;;
437.39;;
438.93;;
437.58;;
427.86;;
413.58;;
413.97;;
419.53;;
414.92;;
419.67;;
417.00;;
405.07;;
378.17;;
347.23;;
317.56;;
292.49;;
294.77;;
303.31;;
312.19;;
319.98;;
306.33;;
292.86;;
280.06;;
271.59;;
258.85;;
253.60;;
265.52;;
281.22;;
289.37;;
292.22;;
299.57;;
303.19;;
303.40;;
305.00;;
315.13;;
308.24;;
304.12;;
321.51;;
344.97;;
362.55;;
387.49;;
413.55;;
445.26;;
457.58;;
455.84;;
461.31;;
459.23;;
451.86;;
460.71;;
469.31;;
492.44;;
513.64;;
509.97;;
475.39;;
453.01;;
428.06;;
410.42;;
398.88;;
393.30;;
375.97;;
362.99;;
346.15;;
333.95;;
323.30;;
325.23;;
338.51;;
344.77;;
350.10;;
352.93;;
357.59;;
356.98;;
357.84;;
368.88;;
378.09;;
389.53;;
400.49;;
395.66;;
385.19;;
390.50;;
395.30;;
408.28;;
423.18;;
430.88;;
435.36;;
434.35;;
437.07;;
431.94;;
430.20;;
443.53;;
443.70;;
446.34;;
453.12;;
432.16;;
421.13;;
402.89;;
398.41;;
392.34;;
384.84;;
379.03;;
382.51;;
371.72;;
350.71;;
338.23;;
315.49;;
286.40;;
268.01;;
266.30;;
239.60;;
227.44;;
224.31;;
221.86;;
215.94;;
225.50;;
237.00;;
251.26;;
276.36;;
312.61;;
345.72;;
362.40;;
365.23;;
373.38;;
388.10;;
406.18;;
431.91;;
446.79;;
451.84;;
463.29;;
486.79;;
501.27;;
515.98;;
531.11;;
541.40;;
544.55;;
556.75;;
561.13;;
566.62;;
583.49;;
