gCO2/kwh;Date;Time
137.1546668;02.01.2022;12:45:00
137.9408973;02.01.2022;13:00:00
135.9154867;02.01.2022;13:15:00
135.6860211;02.01.2022;13:30:00
136.0043834;02.01.2022;13:45:00
135.5262911;02.01.2022;14:00:00
134.7719214;02.01.2022;14:15:00
135.0704746;02.01.2022;14:30:00
135.6210412;02.01.2022;14:45:00
135.0854728;02.01.2022;15:00:00
135.2426155;02.01.2022;15:15:00
132.7305123;02.01.2022;15:30:00
134.6407727;02.01.2022;15:45:00
133.4018481;02.01.2022;16:00:00
133.7378206;02.01.2022;16:15:00
133.3667451;02.01.2022;16:30:00
133.5746289;02.01.2022;16:45:00
134.6335295;02.01.2022;17:00:00
135.609722;02.01.2022;17:15:00
135.9116547;02.01.2022;17:30:00
134.9303108;02.01.2022;17:45:00
133.4570216;02.01.2022;18:00:00
133.6858064;02.01.2022;18:15:00
133.7203405;02.01.2022;18:30:00
134.2705493;02.01.2022;18:45:00
131.3911318;02.01.2022;19:00:00
132.656689;02.01.2022;19:15:00
135.2010104;02.01.2022;19:30:00
136.8569991;02.01.2022;19:45:00
132.8357391;02.01.2022;20:00:00
133.0869035;02.01.2022;20:15:00
134.8076941;02.01.2022;20:30:00
135.7148377;02.01.2022;20:45:00
132.8923872;02.01.2022;21:00:00
134.0123649;02.01.2022;21:15:00
135.1512584;02.01.2022;21:30:00
137.1989112;02.01.2022;21:45:00
137.7818389;02.01.2022;22:00:00
138.3315462;02.01.2022;22:15:00
140.8277814;02.01.2022;22:30:00
142.176115;02.01.2022;22:45:00
139.1649626;02.01.2022;23:00:00
139.8684112;02.01.2022;23:15:00
142.8634804;02.01.2022;23:30:00
141.2929004;02.01.2022;23:45:00
143.9219575;03.01.2022;00:00:00
143.153474;03.01.2022;00:15:00
143.809843;03.01.2022;00:30:00
146.0735809;03.01.2022;00:45:00
150.8037305;03.01.2022;01:00:00
153.3042071;03.01.2022;01:15:00
154.5194133;03.01.2022;01:30:00
149.2367803;03.01.2022;01:45:00
149.5849852;03.01.2022;02:00:00
150.9478924;03.01.2022;02:15:00
152.1967854;03.01.2022;02:30:00
153.6635075;03.01.2022;02:45:00
156.5128221;03.01.2022;03:00:00
152.4181716;03.01.2022;03:15:00
154.6522883;03.01.2022;03:30:00
154.7417878;03.01.2022;03:45:00
154.2594452;03.01.2022;04:00:00
152.7079033;03.01.2022;04:15:00
155.0705605;03.01.2022;04:30:00
153.9059794;03.01.2022;04:45:00
149.6576795;03.01.2022;05:00:00
150.6900192;03.01.2022;05:15:00
153.4610168;03.01.2022;05:30:00
151.4408426;03.01.2022;05:45:00
149.821068;03.01.2022;06:00:00
155.0202953;03.01.2022;06:15:00
160.3394768;03.01.2022;06:30:00
163.621549;03.01.2022;06:45:00
